id,should_trigger,prompt,required_behaviors,forbidden_behaviors
basic-remote-query,true,"Which TCIA datasets have prostate MRI and segmentation annotations? I am using an MCP-capable agent.","Select the snapshot-backed MCP service for this environment; use compact discovery followed by relevant detail; report service fingerprint or timestamp when freshness matters.","Do not install or download release artifacts merely to answer the routine question."
http-only-query,true,"My agent can make HTTP requests but cannot connect to MCP. Find TCIA datasets with prostate MRI.","Select the REST service for this environment; use compact discovery followed by relevant detail.","Do not require MCP or install local release artifacts for this routine query."
browser-only-query,true,"I only have an ordinary browser chat with web access and cannot install a skill, connect MCP, or run code. How can I verify whether a named dataset is published by TCIA?","Use canonical public pages and browser-oriented guidance; preserve TCIA publication and license authority; state limitations.","Do not claim that local artifacts, MCP, REST calls, or Python execution were used."
skill-guidance-freshness,true,"Before answering my TCIA question, check whether your installed skill guidance is current, but use the hosted service for the data query.","Run the lightweight cached skill freshness check when available; explain that it checks skill files and the small version manifest; then prefer MCP or REST.","Do not install, refresh, or download metadata artifacts as part of the skill-guidance check."
remote-service-lag,true,"The hosted TCIA MCP server reports an older bundle fingerprint than the current release. Do I need to download the artifacts myself for this routine question?","Report that the deployment is behind and that updating it is an operator concern; use an appropriate reachable remote or canonical source and state freshness.","Do not direct the user to install local artifacts merely because the hosted deployment is behind."
explicit-local-artifacts,true,"I need an offline, pinned TCIA SQLite bundle for custom SQL and have chosen the local artifact workflow.","Check skill guidance freshness first; install the smallest adequate manifest-pinned profile; report the installed fingerprint and validation state.","Do not substitute an unpinned download or imply that MCP alone satisfies the requested offline workflow."
explicit-query,true,"Use $tcia-query-skill to find breast MRI datasets and explain access.","Use TCIA publication authority; report access and citations; distinguish Collections and Analysis Results.","Do not infer access from page visibility; do not present external records as TCIA-published."
implicit-discovery,true,"What TCIA datasets have lung CT images and segmentation labels?","Search compact dataset results; check related visible Analysis Results; explain the official route.","Do not conclude that annotations are absent from the Collection record alone."
dataset-detail,true,"Does TCGA-GBM have clinical data, and how complete is participant linkage?","Use dataset detail and coverage evidence; preserve dataset-scoped participant identity; state uncertainty.","Do not equate participant availability with complete clinical linkage."
publication-search,true,"Find peer-reviewed papers in TCIA's verified bibliography that use LIDC-IDRI.","Use the TCIA Publications bibliography; distinguish manuscripts from dataset DOI metadata; cite sources.","Do not treat DataCite related works as the verified manuscript bibliography."
doi-provenance,true,"Is the dataset at DOI 10.7937/example currently published by TCIA?","Start from DOI metadata and confirm publication and visibility in TCIA WordPress evidence.","Do not infer TCIA publication solely from DataCite or a downstream repository."
mixed-access,true,"A TCIA dataset has both open images and controlled genomics files. How can I get each part?","Separate download-level routes and access terms; explain that controlled metadata does not grant authorization.","Do not create a public route for controlled data; do not request or expose credential contents."
public-dicom-route,true,"Create a portable download plan for public DICOM series from a TCIA Collection.","Confirm TCIA provenance and access; route public DICOM through IDC; offer a SeriesInstanceUID manifest.","Do not create a legacy .tcia manifest; do not transfer data without explicit instruction."
idc-environment-route,true,"Use an MCP-capable agent to find public TCIA DICOM in IDC, let me preview one representative series, and then explain how I could download the cohort locally.","Confirm TCIA provenance and public access; use the configured IDC MCP surface and its current guidance; request and return an IDC-generated viewer URL; route requested local execution to current IDC local-workflow guidance.","Do not install local IDC tooling merely for discovery; do not hard-code IDC tools, schemas, viewer products, or URL formats; do not transfer the cohort without explicit instruction."
nbia-fallback,true,"Some public Series Instance UIDs from a TCIA manifest are missing from IDC. Can NBIA retrieve the missing ones?","Report matched and missing IDC coverage; route only the missing public subset to the NBIA v4 fallback guidance; preserve the UID allowlist.","Do not make NBIA the first route; do not use it for controlled data; do not rely on older NBIA API examples over the v4 contract."
public-nondicom-route,true,"Where can I obtain the NIfTI masks associated with this TCIA Analysis Result?","Use public non-DICOM detail; preserve the Analysis Result identity and source relationship; cite the TCIA page.","Do not infer annotation-to-source relationships without evidence."
pathology-route,true,"Find the official pathology access route for this TCIA dataset and explain PathDB versus Aspera.","Confirm TCIA publication first; preserve WordPress-provided Aspera routing; explain transformed viewing copies versus submitter files.","Do not reconstruct Aspera URLs or equate PathDB copies with submitter packages."
freshness-failure,true,"Answer using the installed TCIA bundle even though the live freshness check cannot reach the network.","Report the installed fingerprint and timestamp; label live freshness offline or unverified; use installed evidence.","Do not silently switch to live WordPress discovery or claim current verification."
generic-dicom,false,"What does DICOM tag (0010,0010) mean?","Leave this to general DICOM guidance unless TCIA discovery or access is also requested.","Do not activate TCIA-specific publication and bundle workflows."
generic-sqlite,false,"Review this SQLite query for an inefficient join.","Treat this as generic database work unless it targets TCIA query-skill artifacts.","Do not activate TCIA discovery merely because SQLite is mentioned."
non-tcia-literature,false,"Summarize recent papers about diffusion models for medical imaging.","Use a general literature workflow unless the request specifically concerns verified papers about TCIA data.","Do not constrain the search to TCIA or its Publications bibliography."
generic-idc,false,"Find any IDC collection suitable for a pediatric imaging benchmark; it does not need to be published by TCIA.","Use an IDC discovery workflow and honor the explicit non-TCIA scope.","Do not assert that every IDC collection is TCIA-published."
deidentification-design,false,"Design a local DICOM de-identification review pipeline for retained free text.","Use a de-identification workflow; keep PHI local and rules authoritative.","Do not activate TCIA dataset discovery solely because DICOM is involved."
repository-maintenance,false,"Update the TCIA query server release workflow and validate its artifact gates.","Use the repo-local tcia-release-verification workflow for maintenance.","Do not use the public query skill as the maintenance procedure."
